id,time,NTrial,NResp,NInclude,PE,SPE,MRT,SRT,lisas_weight,IES,RCS,BS,LISAS,NTrial_Repeat,NTrial_Switch,NResp_Repeat,NResp_Switch,NInclude_Repeat,NInclude_Switch,PE_Repeat,PE_Switch,SPE_Repeat,SPE_Switch,MRT_Repeat,MRT_Switch,SRT_Repeat,SRT_Switch,lisas_weight_Repeat,lisas_weight_Switch,IES_Repeat,IES_Switch,RCS_Repeat,RCS_Switch,BS_Repeat,BS_Switch,LISAS_Repeat,LISAS_Switch,NTrial_diff,NResp_diff,NInclude_diff,PE_diff,SPE_diff,MRT_diff,SRT_diff,lisas_weight_diff,IES_diff,RCS_diff,BS_diff,LISAS_diff,NIHScore
16,2014/5/11 9:40,95,94,90,0.033333333,0.180511134,970.7102632,317.801334,1760.563607,1004.183031,1.048311503,NA,1029.395717,47,48,47,47,45,45,0.044444444,0.022222222,0.208409077,0.149071198,767.0118786,1169.779139,247.7030595,244.9947597,1760.563607,1760.563607,802.6868497,1196.365029,1.302459768,0.880277518,NA,NA,845.25915,1208.902775,1,0,0,-0.022222222,-0.059337879,402.7672604,-2.70829986,0,393.6781789,-0.42218225,NA,363.6436247,1.355002885
17,2014/5/17 10:09,95,95,91,0.131868132,0.340221863,842.9926751,254.197384,747.1518206,971.0421954,1.065301898,NA,941.5181899,47,48,47,48,45,46,0.111111111,0.152173913,0.317820863,0.363158447,723.998923,965.037549,187.1067093,257.8984223,747.1518206,747.1518206,814.4987884,1138.249417,1.291822584,0.903084062,NA,NA,807.015792,1078.734565,1,1,1,0.041062802,0.045337584,241.038626,70.79171297,0,323.7506283,-0.388738522,NA,271.7187732,1.354847389
18,2014/5/11 10:12,95,95,94,0.021276596,0.145078652,1236.722144,417.2225995,2875.837313,1263.607408,0.797800196,NA,1297.910171,47,48,47,48,46,48,0,0.041666667,0,0.201940937,1096.57103,1376.873257,355.0279973,431.0628503,2875.837313,2875.837313,1096.57103,1436.737312,0.931758274,0.695617743,NA,NA,1096.57103,1496.699812,1,1,2,0.041666667,0.201940937,280.3022269,76.03485304,0,340.1662815,-0.236140531,NA,400.1287816,1.277418079
19,2007/1/1 2:04,95,93,88,0.011363636,0.106600358,1087.102222,362.240552,3398.117588,1099.597649,0.931456845,NA,1125.717194,47,48,45,48,43,45,0.023255814,0,0.15249857,0,955.4585715,1209.969628,395.8859235,280.089854,3398.117588,3398.117588,978.2075851,1209.969628,1.043291855,0.84483296,NA,NA,1034.484562,1209.969628,1,3,2,-0.023255814,-0.15249857,254.5110568,-115.7960695,0,231.7620432,-0.198458895,NA,175.4850664,1.382906862
20,2014/5/11 10:25,95,94,92,0.130434783,0.338626551,1117.961846,361.5680517,1067.748678,1285.656123,0.796473516,NA,1257.233413,47,48,46,48,45,47,0.088888889,0.170212766,0.287799032,0.379882644,1056.20221,1182.888643,339.7285628,376.6324728,1067.748678,1067.748678,1159.246329,1425.532467,0.879154302,0.72489182,NA,NA,1151.113204,1364.633099,1,2,2,0.081323877,0.092083612,126.6864327,36.90391004,0,266.2861388,-0.154262482,NA,213.5198949,1.229727671
21,2014/5/18 10:10,95,93,89,0.04494382,0.208354612,1120.120551,419.8445316,2015.047935,1172.832106,0.891656709,NA,1210.684503,47,48,46,47,42,47,0.023809524,0.063829787,0.15430335,0.247092248,927.5840311,1299.529581,323.6891357,422.6029184,2015.047935,2015.047935,950.2080318,1388.13387,1.156928016,0.722281367,NA,NA,975.5613629,1428.149662,1,1,5,0.040020263,0.092788898,371.9455498,98.9137827,0,437.9258387,-0.434646649,NA,452.588299,1.270537144
46,2014/5/18 10:05,95,95,88,0.113636364,0.31918784100000003,878.8943882,289.8349353,908.0387729,991.5731559,1.057809246,NA,982.0806124,47,48,47,48,44,44,0.113636364,0.113636364,0.321038221,0.321038221,805.0038518,952.7849246,265.0554342,297.9225642,908.0387729,908.0387729,908.2094739,1074.936838,1.104866604,1.017496521,NA,NA,908.190076,1055.971149,1,1,0,0,0,147.7810727,32.86712993,0,166.7273641,-0.087370083,NA,147.7810727,1.380482931
47,2014/5/18 9:52,95,94,91,0.054945055,0.229135446,1039.883652,397.6290752,1735.34511,1100.342003,0.931786735,NA,1135.232284,47,48,47,47,46,45,0.02173913,0.088888889,0.147441956,0.287799032,865.5549611,1231.220019,272.6171053,427.2178939,1735.34511,1735.34511,884.7895158,1351.339045,1.132095718,0.783487553,NA,NA,903.2798548,1385.472918,1,0,-1,0.067149758,0.140357076,365.665058,154.6007886,0,466.5495296,-0.348608165,NA,482.193063,1.289454868
48,2014/5/18 10:23,95,94,94,0.117021277,0.323169218,1208.326858,473.7342862,1465.901637,1368.466562,0.738870672,NA,1379.868539,47,48,47,47,47,47,0.085106383,0.14893617,0.282056673,0.35987458,1063.455778,1364.063268,377.4527456,520.0196458,1465.901637,1465.901637,1162.381897,1602.77434,0.878200487,0.63121516,NA,NA,1188.213364,1582.389044,1,0,0,0.063829787,0.077817907,300.6074895,142.5669002,0,440.3924425,-0.246985327,NA,394.1756791,1.154153564
49,2014/5/24 10:05,95,92,85,0.294117647,0.458349249,865.7096922,382.2642465,834.0021233,1226.422064,0.878998453,NA,1111.004434,47,48,46,46,40,45,0.2,0.377777778,0.405095747,0.490310147,682.2294803,1075.401363,178.9736199,443.8884039,834.0021233,834.0021233,852.7868504,1728.323619,1.385850449,0.599333926,NA,NA,849.0299049,1390.468832,1,0,5,0.177777778,0.0852144,393.1718826,264.9147839,0,875.5367685,-0.786516523,NA,541.4389267,1.159243589
