id,time,NTrial,NResp,NInclude,PE,SPE,MRT,SRT,lisas_weight,IES,RCS,BS,LISAS,NTrial_Cong,NTrial_Incong,NResp_Cong,NResp_Incong,NInclude_Cong,NInclude_Incong,PE_Cong,PE_Incong,SPE_Cong,SPE_Incong,MRT_Cong,MRT_Incong,SRT_Cong,SRT_Incong,lisas_weight_Cong,lisas_weight_Incong,IES_Cong,IES_Incong,RCS_Cong,RCS_Incong,BS_Cong,BS_Incong,LISAS_Cong,LISAS_Incong,NTrial_diff,NResp_diff,NInclude_diff,PE_diff,SPE_diff,MRT_diff,SRT_diff,lisas_weight_diff,IES_diff,RCS_diff,BS_diff,LISAS_diff,NIHScore
11,2014/5/10 10:11,96,96,92,0.010869565,0.104257207,664.7324087,169.1035895,1621.984651,672.0371605,1.540614896,NA,682.3626767,48,48,48,48,45,47,0,0.021276596,0,0.145864991,616.2665023,712.1447085,142.573087,180.7480337,1621.984651,1621.984651,616.2665023,727.6261152,1.694793471,1.412149023,NA,NA,616.2665023,746.6550202,0,0,2,0.021276596,0.145864991,95.87820614,38.17494675,0,111.3596128,-0.282644448,NA,130.3885179,1.713757557
12,2014/5/10 9:49,96,96,95,0,0,860.3797139,282.0933057,Inf,860.3797139,1.17451202,NA,NA,48,48,48,48,47,48,0,0,0,0,789.2644137,930.0134454,254.1101026,293.1651131,Inf,Inf,789.2644137,930.0134454,1.293960019,1.075253272,NA,NA,NA,NA,0,0,1,0,0,140.7490317,39.05501051,NA,140.7490317,-0.218706747,NA,NA,1.614405166
13,2014/5/10 9:40,96,96,93,0.010752688,0.103695169,664.2289142,197.5086832,1904.704763,671.4487937,1.538019613,NA,684.7096106,48,48,48,48,46,47,0,0.021276596,0,0.145864991,641.5339857,686.9238428,161.6401031,227.3888906,1904.704763,1904.704763,641.5339857,701.8569698,1.626536215,1.457039973,NA,NA,641.5339857,727.449476,0,0,1,0.021276596,0.145864991,45.38985709,65.74878752,0,60.3229841,-0.169496242,NA,85.91549034,1.736521221
14,2014/5/10 10:36,96,96,95,0,0,661.1406279,179.5192682,Inf,661.1406279,1.528458959,NA,NA,48,48,48,48,47,48,0,0,0,0,600.8575387,720.1678193,141.4316149,194.1253074,Inf,Inf,600.8575387,720.1678193,1.699698398,1.388565239,NA,NA,NA,NA,0,0,1,0,0,119.3102806,52.69369255,NA,119.3102806,-0.311133159,NA,NA,1.77328969
15,2014/5/10 10:05,96,96,96,0.0625,0.243332132,834.9471284,331.6446389,1362.929904,890.6102703,1.111328531,NA,920.1302474,48,48,48,48,48,48,0.0625,0.0625,0.244623027,0.244623027,776.5674604,893.3267963,331.069619,325.4192413,1362.929904,1362.929904,828.3386245,952.8819161,1.185693637,1.045741062,NA,NA,861.7505794,978.5099153,0,0,0,0,0,116.7593359,-5.650377782,0,124.5432916,-0.139952575,NA,116.7593359,1.478550523
16,2014/5/18 10:19,96,96,91,0.021978022,0.147423952,988.7811624,362.4543667,2458.585331,1011.000964,1.049003738,NA,1042.816005,48,48,48,48,45,46,0.022222222,0.02173913,0.149071198,0.147441956,883.9861013,1091.247444,284.807857,402.1870085,2458.585331,2458.585331,904.0766945,1115.497388,1.186199186,0.940254213,NA,NA,938.6213309,1144.694952,0,0,1,-4.83092e-4,-0.001629242,207.2613431,117.3791514,0,211.4206931,-0.245944973,NA,206.0736207,1.420339583
17,2014/5/11 9:47,96,96,93,0.064516129,0.247001655,642.8226554,156.8602385,635.0574386,687.1552523,1.49020853,NA,683.794103,48,48,48,48,47,46,0.063829787,0.065217391,0.247092248,0.249637418,610.6515965,675.7418784,133.7720599,172.8212042,635.0574386,635.0574386,652.2869326,722.8866607,1.573025566,1.414068309,NA,NA,651.1871777,717.1586679,0,0,-1,0.001387604,0.00254517,65.09028196,39.04914428,0,70.59972805,-0.158957258,NA,65.97149024,1.649359194
18,2014/5/11 9:52,96,96,90,0.011111111,0.105409255,689.6808785,231.1600483,2192.97677,697.4301019,1.536196605,NA,714.0472871,48,48,48,48,44,46,0.022727273,0,0.150755672,0,570.3333873,801.2448377,111.5259109,257.9774223,2192.97677,2192.97677,583.5969544,801.2448377,1.881220516,1.302321353,NA,NA,620.1737684,801.2448377,0,0,2,-0.022727273,-0.150755672,230.9114505,146.4515114,0,217.6478833,-0.578899164,NA,181.0710693,1.639773739
19,2014/5/11 9:45,96,96,96,0.145833333,0.35479176,745.5811363,234.8961804,662.0677447,872.8754766,1.118236717,NA,842.1326824,48,48,48,48,48,48,0.104166667,0.1875,0.308709278,0.39444278,677.812661,820.3002244,155.5108584,282.7657591,662.0677447,662.0677447,756.6280867,1009.600276,1.27920678,0.981992967,NA,NA,746.7780511,944.4379266,0,0,0,0.083333333,0.085733501,142.4875634,127.2549007,0,252.9721895,-0.297213813,NA,197.6598755,1.442953119
20,2014/5/11 9:36,96,96,93,0.064516129,0.247001655,563.3434985,146.9770887,595.0449545,602.1947742,1.676758859,NA,601.7334955,48,48,48,48,46,47,0.043478261,0.085106383,0.206184571,0.282056673,532.3155415,595.0930358,124.284678,162.4134744,595.0449545,595.0449545,556.5117024,650.4505275,1.880465417,1.502626286,NA,NA,558.1870612,645.7351596,0,0,1,0.041628122,0.075872102,62.77749437,38.12879638,0,93.9388251,-0.377839131,NA,87.5480984,1.72832677
