id,AntiSac,CateSwitch,KeepTrack,ShiftColor,ShiftNumber,spatialWM,StopSignal,Stroop,WM3
67,0.088888889,211.9050739,32,243.947701,231.7172405,3.356304636,244.0725142,181.0225319,4.363182006
68,0.233333333,178.7313032,31,203.0452518,106.809164,3.381243259,227.4749407,113.8953199,2.533343507
69,0.288888889,NA,36,169.6350735,253.7645192,4.016969504,184.0643029,320.85295473124995,0.830575578
70,0.155555556,NA,NA,204.1099996,117.7551358,2.582931591,238.5531296,106.0831852,2.070379363
71,0.255555556,NA,NA,246.053023,205.8137906,3.856728382,207.4040847,178.008971,4.05801227
72,0.255555556,NA,34,638.9812043,222.3613595,3.025799366,214.1022083,118.2277497,4.363182006
73,0.266666667,NA,31,361.9418798,125.3844573,4.652695748,190.1717251,307.4148969,2.533343507
74,0.322222222,NA,29,304.3174162,204.7844429,2.431981298,279.1194646125001,149.5315169,2.117770946
83,0.355555556,NA,34,NA,NA,2.297564495,241.4192288,61.37025979,2.711323882
84,0.2,NA,35,NA,NA,3.24032753,205.9082375,140.3650778,1.076364778
85,0.411111111,NA,34,NA,NA,2.504126581,179.7460771,287.2766047,0.616306214
86,0.466666667,NA,31,NA,NA,3.381243259,178.3190359,102.798496,2.408510941
87,0.488888889,NA,32,NA,NA,1.378712458,185.3696687,230.4402408,1.504262152
88,0.2,NA,32,NA,NA,3.025799366,204.5362154,154.7802348,3.463328792
89,0.166666667,NA,31,NA,NA,4.016969504,204.6386991,124.5127575,3.419828259
90,0.277777778,NA,30,NA,NA,4.652695748,191.8825568,162.0658329,0.979249582
91,0.155555556,41.85519322,35,NA,NA,1.271871883,210.0016191,77.49557471,1.28478436
92,0.233333333,297.150413,31,NA,NA,1.596509551,217.7556597,154.7802348,1.223012033
93,0.055555556,235.9982376,35,NA,NA,2.431981298,247.9862853,124.5127575,NA
99,0.233333333,NA,34,NA,NA,3.124821789,229.8982501,54.18792693,3.187183512
100,0.288888889,NA,33,NA,NA,1.307450869,202.5193562,99.37733864,1.332333875
13,NA,557.0960799,33,283.8724037,264.1241339,3.211536298,252.3659054,45.38985709,2.840286946
14,NA,249.4426632,33,671.78849,134.3191106,1.707540631,166.5305147,119.3102806,1.853224713
15,NA,202.1735114,28,94.22949212,62.62304484,4.492454627,215.8236003,116.7593359,3.476697254
16,NA,402.7672604,31,485.9402371,229.4241448,3.856728382,134.19110771249993,207.2613431,2.989825957
17,NA,241.038626,NA,283.8724037,143.9848507,3.025799366,162.4630808,65.09028196,0.478728866
18,NA,280.3022269,NA,671.78849,143.6791754,3.025799366,240.3211544,230.9114505,3.004255698
19,NA,254.5110568,NA,94.22949212,350.3610531,2.431981298,215.6694961,142.4875634,1.223012033
20,NA,126.6864327,33,485.9402371,54.15035449,1.773534191,180.3011246,62.77749437,3.709342001
78,NA,469.6973035,35,NA,274.8050271,4.652695748,204.6386991,154.7802348,0.672552136
79,NA,375.8572456,30,NA,577.0251525000001,2.599079498,191.8825568,199.8393436,2.350415693
80,NA,404.263135,33,NA,345.5365369,4.202706436,210.0016191,96.99136233,1.934843132
81,NA,490.1068899,36,NA,577.0251525000001,3.566980191,171.9599982,292.0875246,1.332333875
35,NA,NA,31,552.1773224,240.3817482,3.856728382,204.9056501,84.68494744,2.882013776
36,NA,NA,28,688.638608,302.2101406,3.025799366,248.2192553,101.1933228,1.947210119
37,NA,NA,29,151.2690657,256.4855968,3.025799366,279.0354408,27.78739851,0.886215673
75,NA,NA,31,369.7252569,301.4194951,3.856728382,213.2627999,112.7665941,0.758950677
76,NA,NA,36,NA,105.8435394,3.025799366,165.4295569,93.3294965,2.989825957
77,NA,NA,26,NA,577.0251525000001,2.297564495,134.19110771249993,59.09313181,2.882013776
82,NA,NA,35,NA,NA,2.670355472,200.0497682,97.3631055,1.524444791
94,NA,NA,34,NA,NA,3.856728382,158.9131736,78.66146697,NA
95,NA,NA,34,NA,NA,2.884883637,219.0984691,202.9044677,NA
96,NA,NA,28,NA,NA,4.652695748,204.6386991,167.8070089,NA
97,NA,NA,NA,NA,NA,1.773534191,191.8825568,64.83239553,1.58107668
98,NA,NA,NA,NA,NA,4.492454627,210.0016191,176.6029779,1.300994213
